Description,Shell: folder shortcut,Equivalent,System,User
Account Pictures,Shell:AccountPictures,%AppData%\Microsoft\Windows\Account Pictures\= C:\Users\<username>\AppData\Roaming\Microsoft\Windows\Account Pictures,,
"Open the Control Panel ""Install a program from the network"" applet",shell:AddNewProgramsFolder,Control Panel > Get Programs from the network,Control Panel,
Open the user‘s Start Menu\Administrative Tools folder (if any),shell:Administrative Tools,%LocalAppData%\Microsoft\Windows\Start Menu\Programs\Administrative Tools\= C:\Users\<username>\AppData\Local\Microsoft\Windows\Start Menu\Programs\Administrative Tools,,User folder
Open the user‘s Application Data folder,shell:AppData,%AppData% = C:\Users\<username>\AppData\Roaming\,,User folder
Display installed Windows Updates,shell:AppUpdatesFolder,Control Panel > Programs and Features> Installed updates,System folder,
Open the folder where files are stored before being burned to disc,shell:CD Burning,%LocalAppData%\Microsoft\Windows\Burn\Burn\= C:\Users\<username>\AppData\Local\Microsoft\Windows\Burn\Burn,,User folder
"Open the Client Side Cache Offline Files folder, if supported",shell:CSCFolder,"Client Side Cache, if enabled",,User folder
Open the Temporary Internet Files folder,shell:Cache,%LocalAppData%\Microsoft\Windows\iNetCache\= C:\Users\<username>\AppData\Local\Microsoft\Windows\iNetCache,Internet Explorer,User folder
"Open the Control Panel ""Uninstall or change a program"" applet",shell:ChangeRemoveProgramsFolder,Control Panel > Uninstall or change a program,Control Panel,
Open All Users Start Menu\Administrative Tools folder,shell:Common Administrative Tools,%ProgramData%\Microsoft\Windows\Start Menu\Programs\Administrative Tools\=C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools,System Folder,
Open the Public Application Data folder,shell:Common AppData,%ProgramData%= C:\ProgramData,System folder,
Open the Public Desktop,shell:Common Desktop,%Public%\Desktop\= C:\Users\Public\Desktop,System folder,
Open the Public Documents folder,shell:Common Documents,%Public%\Documents\= C:\Users\Public\Documents,System folder,
Open the Public Start Menu Programs folder,shell:Common Programs,%ProgramData%\Microsoft\Windows\Start Menu\Programs\=C:\ProgramData\Microsoft\Windows\Start Menu\Programs,System folder,
Open the Public Start Menu folder,shell:Common Start Menu,%ProgramData%\Microsoft\Windows\Start Menu\=C:\ProgramData\Microsoft\Windows\Start Menu,System folder,
